,time_stamp,ADMI_pitch_pos,ADMI_yaw_pos,ADMI_pitch_vel,ADMI_yaw_vel,ADMI_pitch_acc,ADMI_yaw_acc,pitch_torque,yaw_torque,task_num,target_num
0,1733536516.577219,-45.000009361986116,70.00001456308951,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,2.0
1,1733536516.5811067,-45.000009361986116,70.00001456308951,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,2.0
2,1733536516.5852282,-45.00001050279518,70.00001493101706,-0.00028520226478576663,9.198188781738282e-05,-0.07130056619644165,0.022995471954345703,-0.0007130056619644165,0.00022995471954345703,1.0,2.0
3,1733536516.5895603,-45.00001553871561,70.00002028644232,-0.0012589801073074342,0.0013388563156127929,-0.2434444606304169,0.3117186069488525,-0.0024430006742477417,0.003119945526123047,1.0,2.0
4,1733536516.5939574,-45.00002520380308,70.00003076158534,-0.0024162718668937684,0.002618785752105713,-0.28932293989658353,0.31998235912323,-0.0029309988021850586,0.0032399892807006836,1.0,2.0
5,1733536516.5977893,-45.00004074811156,70.00004731887422,-0.003886077120619583,0.004139322221884155,-0.36745131343145365,0.38013411744461056,-0.00374700129032135,0.0038799047470092773,1.0,2.0
6,1733536516.6017902,-45.00006210109041,70.00006988532324,-0.005338244711300688,0.005641612254025256,-0.3630418976702763,0.37557250803527525,-0.00374700129032135,0.0038799047470092773,1.0,2.0
7,1733536516.6059873,-45.000090794636215,70.00009898086348,-0.007173386452636784,0.007273885059686914,-0.45878543533402394,0.40806820141541444,-0.00474800169467926,0.004249930381774902,1.0,2.0
8,1733536516.6101139,-45.000135619036286,70.0001345591893,-0.011206100018009708,0.008894581455938445,-1.008178391343231,0.4051740990628826,-0.010296985507011414,0.004269957542419434,1.0,2.0
9,1733536516.6141286,-45.00019638072037,70.00017654250729,-0.015190421020598158,0.010495829495434959,-0.9960802506471123,0.40031200987412807,-0.010296985507011414,0.004269957542419434,1.0,2.0
10,1733536516.618131,-45.00027288844105,70.00022485395752,-0.019126930171155545,0.012077862558457513,-0.9841272876393468,0.39550826575563847,-0.010296985507011414,0.004269957542419434,1.0,2.0
11,1733536516.6224077,-45.00038134685972,70.00028037757099,-0.02711460466573315,0.01388090336644743,-1.9969186236444005,0.450760201997479,-0.020542994141578674,0.004869937896728516,1.0,2.0
12,1733536516.6264157,-45.00052137256798,70.00034302680173,-0.03500642706637582,0.015662307684741465,-1.9729556001606678,0.44535107957350933,-0.020542994141578674,0.004869937896728516,1.0,2.0
13,1733536516.6304488,-45.000692586758376,70.00041271614234,-0.042803547598210784,0.017422335151215974,-1.94928013295874,0.4400068666186272,-0.020542994141578674,0.004869937896728516,1.0,2.0
14,1733536516.6344566,-45.00089461516911,70.00048936111149,-0.05050710268366372,0.019161242288092788,-1.9258887713632349,0.4347267842192037,-0.020542994141578674,0.004869937896728516,1.0,2.0
15,1733536516.6385033,-45.00112708802954,70.00057287824164,-0.058118215108091224,0.020879282539327082,-1.902778106106876,0.42951006280857323,-0.020542994141578674,0.004869937896728516,1.0,2.0
16,1733536516.6424947,-45.00138964000627,70.00066318506687,-0.0656379941834256,0.022576706307546563,-1.8799447688335937,0.42435594205487037,-0.020542994141578674,0.004869937896728516,1.0,2.0
